The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	         1	         3	         7	   4799.57	     20000	     20000	   25399.3	   25399.3	 0.0014883	 0.0014883
	         2	         5	        11	   4805.16	     20000	     40000	   25399.3	   50798.6	0.00238053	0.00386883
	   3.07726	         7	        15	    4810.9	     20000	   61545.1	   25399.3	   78160.2	0.00302454	0.00712704
	         4	         8	        18	   4813.93	   20000.1	     80000	   25399.4	    101597	0.00344085	 0.0103021
	         5	         9	        21	   4817.11	     20000	    100000	   25399.4	    126997	 0.0037932	 0.0140953
	         7	        10	        24	   4823.78	   20000.1	    140000	   25399.4	    177796	0.00430055	 0.0226964
	        11	        12	        30	   4841.04	     20000	    220000	   25399.3	    279393	0.00494442	  0.042474
	        13	        13	        33	   4848.35	     20000	    260000	   25399.3	    330192	0.00521556	 0.0529052
	        14	        14	        35	   4851.81	   19980.1	    279980	   25318.4	    355510	0.00475625	 0.0576614
	        16	        15	        38	    4859.6	     20000	    319980	   25286.8	    406083	0.00539742	 0.0684562
	        20	        17	        44	   4877.15	     20000	    399980	     25102	    506491	0.00559983	 0.0908556
	        28	        19	        50	   4909.03	     20000	    559980	   24807.1	    704948	0.00592136	  0.138226
	        38	        22	        58	   4949.01	     20000	    759980	   24587.5	    950823	0.00617438	   0.19997
	        42	        23	        60	   4962.74	     20000	    839980	   24765.2	1.04988e+06	0.00625664	  0.224997
	        43	        24	        62	      4965	     20000	    859980	   24806.2	1.07469e+06	0.00628348	   0.23128
	        45	        25	        65	   4972.38	     20000	    899980	     24876	1.12444e+06	 0.0063219	  0.243924
	        49	        26	        67	   4985.67	     20000	    979980	   24970.5	1.22432e+06	0.00637806	  0.269436
	        50	        27	        68	   4988.08	     20000	    999980	     24992	1.24932e+06	0.00639358	   0.27583
	        51	        28	        70	   4991.56	     20000	1.01998e+06	   25011.5	1.27433e+06	0.00640615	  0.282236
