	      Time	     dPmax	     dVmax	     dSmax	     dNmax	     CFL

	       0.1	    60.252	1.47677e-06	4.36028e-05	   0.01028	0.00640764
	       0.4	   109.461	2.56602e-05	8.17606e-05	 0.0285273	 0.0189461
	         1	   150.632	0.000115188	0.000118597	 0.0520973	  0.036887
	       1.1	   23.4327	0.000106413	1.69293e-05	0.00831337	0.00599864
	       1.4	   59.2835	0.000101165	4.2786e-05	 0.0240354	 0.0179524
	       2.3	   124.265	0.000685463	0.000158527	 0.0654231	 0.0535234
	       2.8	    59.763	0.00570298	  0.019486	 0.0329498	 0.0293462
	      2.95	   40.1299	0.00483984	0.00477982	0.00909326	0.00874806
	      3.05	   22.4937	0.00435184	0.00356979	0.00615318	0.00580674
	      3.15	   20.6518	 0.0039126	0.00373106	0.00617499	0.00579262
	      3.25	   19.2309	0.00351731	0.00384857	0.00618162	0.00577975
	      3.35	    17.889	0.00316162	0.00394366	0.00618303	0.00576789
	      3.45	   16.6699	0.00284158	  0.004023	0.00618197	0.00575688
	      3.55	   15.5715	0.00255365	0.00408955	0.00617945	0.00574663
	      3.65	   14.5825	0.00229462	0.00414521	0.00617597	0.00573706
	      3.75	   13.7108	0.00206162	0.00417708	0.00615845	 0.0057281
	      3.85	   12.9772	0.00185204	0.00417188	0.00611216	0.00571966
	      3.95	   12.3376	0.00166354	0.00416435	0.00606689	0.00571161
	         4	   5.97466	0.00157955	0.00207039	0.00300793	0.00285197
	       4.1	   11.4755	0.00141847	0.00414261	0.00599751	0.00570024
	       4.2	   10.9882	0.00127362	0.00412371	0.00595068	0.00569308
	       4.3	   10.5297	0.00114336	0.00410039	0.00590286	0.00568623
	       4.4	   10.1051	0.00102624	0.00407335	0.00585418	0.00567967
	       4.5	    9.7122	0.00092093	0.00404312	0.00580472	0.00567336
	   4.60859	   10.1318	0.000817895	 0.0043558	0.00624925	0.00615389
	   4.74135	   11.8477	0.000705004	0.00527874	0.00756914	0.00751565
	   4.92966	   15.8846	0.000564124	0.00740471	  0.010612	 0.0106465
	   5.26348	   25.8572	0.000352541	 0.0129151	 0.0184968	 0.0188394
	   6.21037	   61.2571	0.000133773	 0.0355946	 0.0508611	 0.0532854
	   7.21037	   45.8234	7.47863e-05	 0.0300387	 0.0432596	 0.0575651
	   8.21037	   37.4674	3.45351e-05	 0.0227997	 0.0338507	  0.066064
	   9.21037	   31.3799	1.59976e-05	 0.0174409	 0.0265433	 0.0696876
	   10.2104	   28.7021	1.71195e-05	 0.0140528	  0.021544	 0.0674122
	   11.2104	   25.6393	1.99743e-05	 0.0114069	 0.0206255	 0.0656594
	   12.2104	   23.0589	2.21232e-05	0.00938217	 0.0207436	 0.0643828
	        13	   17.2451	0.000139541	0.00640625	 0.0165617	 0.0488845
	      13.1	   2.40087	0.000125661	0.000781054	 0.0021749	0.00627027
	      13.4	   6.58397	8.80897e-05	0.00219699	0.00637607	 0.0185588
	      14.3	   17.6082	0.000244602	0.00600975	 0.0181162	 0.0545902
	      15.3	   18.2546	0.00013389	0.00596077	 0.0198155	 0.0606172
	      16.3	   17.5112	0.00110261	0.00520332	 0.0195346	 0.0608542
	   17.2069	   36.2058	7.77546e-05	 0.0122548	 0.0173823	 0.0531752
	   18.2069	   25.4001	2.38157e-05	 0.0149808	 0.0190729	 0.0583323
	   19.2069	   21.5637	2.14114e-05	 0.0152371	 0.0193344	 0.0583146
	   20.2069	    19.721	1.95081e-05	  0.015276	 0.0195589	 0.0583134
	   21.2069	   18.2859	1.83798e-05	 0.0149023	 0.0193855	 0.0582083
