	      Time	        dt	     dPmax	     dVmax	     dSmax	     dNmax	      CFL
	      Days	      Days	      Psia	          	          	          	        

	         1	         1	   291.818	4.9161e-07	0.000209985	 0.0858519	         0
	         2	         1	   170.831	0.000359791	0.000164732	 0.0740573	         0
	   3.07833	   1.07833	   170.576	2.99894e-05	 0.0256421	 0.0625843	         0
	         4	  0.921672	   123.185	2.54578e-08	 0.0369189	  0.051005	         0
	         5	         1	   98.1333	0.000235517	  0.037787	 0.0525731	         0
	         7	         2	   101.244	 8.989e-06	 0.0556315	 0.0770153	         0
	        11	         4	   116.709	1.42914e-06	  0.058761	 0.0853583	         0
	        13	         2	   47.9483	7.62728e-05	  0.021411	 0.0375074	         0
	        14	         1	   22.1639	0.000480079	0.00938867	  0.018542	         0
	        16	         2	    38.873	0.000420194	 0.0141939	 0.0359138	         0
	        20	         4	     99.56	5.29456e-05	 0.0531385	 0.0678856	         0
	        28	         8	   118.432	1.5059e-05	 0.0888064	  0.114272	         0
	        38	        10	   84.8489	7.55084e-07	 0.0714525	   0.11526	         0
	        42	         4	    43.268	1.52018e-05	  0.037316	 0.0466648	         0
	        43	         1	   16.6797	7.91641e-06	0.00993213	 0.0124525	         0
	        45	         2	   22.5821	2.46899e-05	 0.0202656	 0.0254353	         0
	        49	         4	   30.9006	1.26672e-07	 0.0367718	 0.0471091	         0
	        50	         1	   7.42517	4.34658e-06	0.00906643	 0.0121301	         0
	        51	         1	   7.00212	4.01523e-06	0.00890659	 0.0120207	         0
	        53	         2	   12.4611	1.40269e-05	 0.0168122	 0.0220871	         0
	        57	         4	    19.002	1.37543e-07	 0.0305456	 0.0401913	         0
	        65	         8	   28.7747	5.96364e-08	 0.0458194	 0.0658667	         0
	        75	        10	   35.2528	1.22747e-05	  0.040951	 0.0772487	         0
	        85	        10	   43.2275	1.13933e-05	 0.0680425	  0.082997	         0
	        95	        10	   34.0834	4.25806e-06	 0.0581605	 0.0715393	         0
	       105	        10	   26.1924	1.96426e-06	 0.0479049	 0.0654415	         0
	       115	        10	   32.3328	5.73745e-07	 0.0466403	 0.0671259	         0
	       125	        10	   31.9858	1.65492e-06	 0.0553075	  0.068152	         0
	       135	        10	   35.5932	7.20654e-06	 0.0495424	 0.0629545	         0
	       145	        10	   28.1695	2.37199e-06	 0.0446111	 0.0544813	         0
	       155	        10	   25.8606	3.11348e-08	 0.0413387	 0.0553235	         0
	       165	        10	   30.6899	1.4417e-05	 0.0485465	 0.0575227	         0
	       175	        10	   28.7205	5.02536e-06	 0.0457631	 0.0565612	         0
	   182.625	     7.625	   19.9406	0.000151724	 0.0339877	 0.0427776	         0
	   183.625	         1	   2.90584	8.81263e-07	0.00423582	0.00551795	         0
	   185.625	         2	   5.29918	3.88404e-06	0.00839165	 0.0107035	         0
	   189.625	         4	   10.2843	1.78818e-05	 0.0163801	 0.0210362	         0
	   197.625	         8	    19.863	0.00199323	 0.0305575	 0.0399638	         0
	   207.625	        10	   32.6163	0.000854932	 0.0357234	 0.0494705	         0
	   217.625	        10	   27.6262	4.9904e-06	 0.0334077	 0.0487352	         0
	   227.625	        10	   28.8089	1.28427e-07	 0.0413227	  0.050406	         0
	   237.625	        10	   24.8279	1.9286e-07	 0.0387847	 0.0488892	         0
	   247.625	        10	   29.0065	1.45925e-06	 0.0359473	 0.0463309	         0
	   257.625	        10	   26.5694	6.79084e-07	  0.033781	   0.04095	         0
