	      Time	     dPmax	     dVmax	     dSmax	     dNmax	      CFL
	    0.0125	   200.463	0.00312956	 0.0136743	0.000501178	0.000783691
	    0.0625	   228.379	0.00878412	  0.010346	         1	 0.0031113
	    0.1625	   178.417	 0.0090217	  0.010652	         1	0.00722327
	    0.2625	   75.2677	0.00812133	0.00498588	         1	0.00774072
	    0.3625	   51.4122	0.00731044	0.00402978	         1	0.00776256
	    0.4625	   28.8217	 0.0065802	0.00313969	         1	0.00765567
	    0.5625	   24.0247	0.00592266	0.00279649	         1	0.00752502
	    0.6625	   20.7796	0.00533068	0.00249582	  0.923103	0.00736642
	    0.7625	   18.2446	0.00479774	0.00224333	         1	0.00720776
	    0.8625	   15.9047	0.00431804	0.00202937	         1	0.00702162
	    0.9625	   13.4399	0.00388621	0.00184663	         1	0.00686876
	         1	   4.70499	0.00374048	0.000636473	         1	0.00253612
	       1.1	    11.806	0.00336641	 0.0015305	         1	0.00672937
	       1.2	   11.2184	0.00302976	0.00133581	         1	 0.0067377
	       1.3	    10.599	0.00272678	0.00117494	  0.759057	0.00674706
	       1.4	    9.9625	 0.0024541	0.00104147	  0.567439	0.00676326
	       1.5	   9.31413	0.00220871	0.00093028	         1	0.00674913
	       1.6	    8.6846	0.00198788	0.000858018	         1	0.00672618
	       1.7	   8.09056	0.00178915	0.000836765	  0.969331	0.00671189
	       1.8	   7.50732	0.00161034	0.000817275	  0.653358	0.00669153
	       1.9	   6.96278	0.00144943	0.000799611	  0.490248	0.00668239
	         2	   6.46023	0.00130463	0.000781566	         1	0.00667924
	       2.1	   6.06581	0.00117433	0.000765065	  0.621107	0.00668005
	       2.2	   5.78555	0.00105707	0.000749939	         1	0.00668388
	       2.3	   5.51051	0.00095155	0.000729626	  0.999999	0.00668769
	       2.4	   5.24311	0.000856592	0.000713714	         1	0.00667863
	       2.5	   4.98368	0.000771138	0.000699985	         1	0.00666923
	       2.6	   4.73449	0.000694234	0.000687646	         1	0.00666366
	       2.7	   4.50647	0.000625024	0.00067633	  0.922887	0.00666211
	       2.8	   4.29241	0.000562739	0.000665735	  0.636748	0.00665835
	       2.9	   4.19418	0.000506684	0.000655764	         1	0.00665722
	         3	   4.20121	0.000456235	0.000646329	  0.767583	0.00665596
	       3.1	   4.18184	0.000410829	0.000637348	         1	0.00665536
	       3.2	   4.13946	0.000369963	0.00062876	  0.760777	0.00665602
	       3.3	   4.07731	0.000333181	0.000620511	   0.55942	0.00665812
	       3.4	   3.99842	0.000300074	0.00061221	  0.999114	0.00666135
	       3.5	   3.90561	0.000270274	0.000600063	         1	0.00666528
	       3.6	   3.80175	0.000243481	0.000590354	  0.861217	0.00666954
	       3.7	   3.68876	0.000219361	0.000581688	         1	0.00667205
	       3.8	   3.56906	0.000197644	0.000573618	  0.709664	0.00667447
	       3.9	    3.7416	0.000178094	0.000565871	  0.999804	0.00667734
	         4	   3.99169	0.000160495	0.000558223	  0.790338	 0.0066808
	       4.1	   4.15217	0.00014465	0.000550036	         1	0.00668367
	       4.2	   4.23313	0.000130384	0.000541943	  0.679357	0.00668693
	       4.3	   4.41244	0.000117539	0.000533931	  0.507198	0.00669098
	       4.4	   4.51883	0.000105966	0.000526177	  0.594265	0.00669522
	       4.5	   4.54354	9.55449e-05	0.000518304	         1	0.00670037
	       4.6	   4.50145	0.000124299	0.000510257	         1	0.00670591
	       4.7	   4.40654	0.000111879	0.000501842	  0.738521	0.00671039
	       4.8	   4.27154	0.000100706	0.000493091	         1	0.00671574
	       4.9	   4.10793	0.00012752	0.000484484	         1	0.00672058
	         5	   3.92575	0.000126968	0.000475862	  0.962957	0.00672513
	       5.1	   3.73365	0.000114291	0.00046736	         1	0.00672935
	       5.2	   3.53894	0.000102882	0.000458869	  0.690387	0.00673336
	       5.3	   3.34684	9.26142e-05	0.00044796	  0.513459	0.00673727
	       5.4	   3.16136	9.03755e-05	0.000437876	         1	0.00674115
	       5.5	   2.98585	8.13537e-05	0.000428023	         1	0.00674501
	       5.6	   2.82306	7.32339e-05	0.000418435	         1	0.00674885
	       5.7	   2.68477	6.59249e-05	0.000409065	         1	0.00675261
	       5.8	   2.59307	 6.743e-05	0.000399845	  0.689028	0.00675636
	       5.9	   2.49865	9.40684e-05	0.000394119	  0.999991	0.00676007
	         6	   2.42464	8.46737e-05	0.000393546	  0.673954	0.00676361
	       6.1	   2.53331	7.62182e-05	0.00039294	         1	0.00676723
	       6.2	    2.9867	8.91314e-05	0.000392155	    0.7329	0.00677077
	       6.3	   3.28501	9.64639e-05	0.000391435	         1	0.00677417
	       6.4	   3.44633	8.68247e-05	0.000390797	         1	0.00677741
	       6.5	   3.49159	7.81491e-05	0.000390239	  0.851317	0.00678051
	       6.6	   3.44289	7.03428e-05	0.000389729	  0.608869	0.00678349
	       6.7	   3.32211	7.2227e-05	0.000389238	         1	0.00678636
	       6.8	   3.14981	6.50093e-05	0.000388811	  0.664079	0.00678915
	       6.9	   2.94488	6.64383e-05	0.000388429	         1	0.00679188
	         7	   2.72387	5.97079e-05	0.000388086	  0.969081	0.00679452
	       7.1	   2.50054	5.67894e-05	0.00038778	  0.645984	0.00679703
	       7.2	   2.28582	6.02213e-05	0.000387508	  0.483726	0.00679941
	       7.3	   2.17047	6.34297e-05	0.000387283	  0.385479	0.00680166
	       7.4	   2.14528	5.70879e-05	0.000387051	  0.999996	0.00680382
	       7.5	   2.11988	5.13803e-05	0.000386828	  0.999858	0.00680589
	       7.6	   2.09446	4.69017e-05	0.00038662	    0.8595	0.00680788
	       7.7	   2.08568	6.83819e-05	0.000386418	  0.606965	0.00680984
	       7.8	   2.08923	6.15515e-05	0.000386224	         1	0.00681175
	       7.9	   2.09069	5.54039e-05	0.000386037	  0.999964	0.00681363
	         8	   2.09008	5.24349e-05	0.000385875	  0.834751	0.00681547
	       8.1	   2.08748	4.71978e-05	0.000385711	  0.599255	0.00681729
	       8.2	   2.08306	4.24842e-05	0.000385552	  0.461903	0.00681906
	       8.3	   2.07703	3.82418e-05	0.000385299	  0.374564	 0.0068208
	       8.4	   2.06956	3.5859e-05	0.000384913	  0.314524	0.00682248
	       8.5	     2.061	5.29017e-05	0.000384377	  0.270875	0.00682412
	   8.61075	   2.07425	4.70514e-05	0.000425102	  0.958009	0.00756044
	   8.71075	   1.88744	4.23538e-05	0.000383208	  0.999937	0.00682737
	   8.81075	   1.89844	3.81262e-05	0.000382679	  0.659778	0.00682889
	   8.91075	   1.90889	6.67783e-05	0.000382162	  0.511966	0.00683033
	   9.01075	   1.91881	6.7835e-05	0.000381658	  0.412199	0.00683172
	   9.11075	    1.9357	6.10563e-05	   0.00038	  0.342586	0.00683306
	   9.21075	   1.95483	5.49556e-05	0.000378417	  0.292094	0.00683436
	   9.31346	   2.02069	5.23799e-05	0.00041168	  0.259644	0.00702084
	   9.43213	   2.32795	5.87471e-05	0.000469754	  0.999976	 0.0081148
	   9.53213	   1.99266	5.28763e-05	0.000401741	   0.77731	0.00683818
	   9.63213	    1.9814	4.75926e-05	0.000403732	  0.577756	0.00683935
	   9.73213	   1.97536	4.28371e-05	0.000403852	  0.452014	0.00684041
	   9.83213	   1.98124	3.85573e-05	0.000403126	  0.999994	0.00684139
	   9.93213	   1.98666	4.01733e-05	0.000397998	         1	0.00684228
	   10.0321	   1.99164	 5.878e-05	0.000394709	  0.802976	0.00684309
	   10.1321	   1.99619	5.29013e-05	0.000392327	  0.584484	0.00684381
	   10.2321	    2.0003	4.76104e-05	0.000390295	    0.4538	0.00684446
	   10.3321	   2.00401	4.28489e-05	0.000388524	  0.999925	0.00684503
	   10.4321	   2.00729	4.27301e-05	0.000386931	   0.87546	0.00684551
	   10.5321	   2.01018	4.64669e-05	0.000385457	  0.732212	0.00684594
	   10.6321	   2.01267	4.18242e-05	0.000384058	  0.543462	 0.0068463
	   10.7321	   2.01478	4.63423e-05	0.000382719	         1	0.00684661
	   10.8321	   2.01651	4.17101e-05	0.000381426	  0.742273	0.00684689
	   10.9321	   2.01787	4.07644e-05	0.000380173	         1	0.00684713
	   11.0321	   2.01886	3.66879e-05	0.000380223	    0.8773	0.00684727
	   11.1321	    2.0195	3.30193e-05	0.00038031	  0.619469	0.00684746
	   11.2321	   2.01979	2.9718e-05	0.000380334	   0.47468	0.00684765
	   11.3321	   2.01977	3.15901e-05	0.000380289	  0.383554	0.00684791
	   11.4321	   2.01939	3.88024e-05	0.000380207	  0.321636	0.00684805
	   11.5321	   2.01869	 3.493e-05	0.000380082	   0.27688	0.00684818
	   11.6405	   2.18438	3.95889e-05	0.000412024	         1	0.00742067
	   11.7405	   2.01622	3.56393e-05	0.000379453	  0.765336	0.00684835
	   11.8405	   2.01456	3.95169e-05	0.000379345	  0.999908	0.00684845
	   11.9405	   2.01822	3.55698e-05	0.000378996	  0.892878	0.00684845
	   12.0405	   2.02947	3.54857e-05	0.000378558	  0.625568	0.00684851
	   12.1405	   2.03981	4.99654e-05	0.000378066	  0.477223	0.00684858
	   12.2405	   2.04928	4.49725e-05	0.000377532	   0.38508	0.00684862
	   12.3405	    2.0579	4.04789e-05	0.000376939	  0.322806	0.00684864
	   12.4405	   2.06569	3.64348e-05	0.000376309	  0.277858	0.00684864
	   12.5484	   2.23521	4.54652e-05	0.000406004	  0.260443	0.00739491
	   12.6728	   2.57656	5.66765e-05	0.00046746	  0.261388	0.00851903
	   12.8156	   2.95783	6.02954e-05	0.00053564	  0.259302	0.00977862
	   12.9807	   3.41904	5.09652e-05	0.000617255	  0.256851	 0.0113148
	   13.1736	    3.9844	8.25445e-05	0.000716996	  0.303255	 0.0132175
	   13.3644	   3.94676	6.67926e-05	0.000701912	  0.457239	 0.0130742
	   13.4896	    2.6155	5.84258e-05	0.000452317	  0.271335	0.00857315
	    13.628	   2.88682	5.03329e-05	0.000499992	  0.308915	0.00947951
	   13.7624	   2.80433	4.68734e-05	0.000482186	  0.259326	0.00920495
	    13.918	   3.23231	6.16124e-05	0.000555685	  0.260436	 0.0106496
	   14.0971	   3.70504	5.19569e-05	0.000635834	  0.999997	 0.0122679
	   14.1971	   2.08703	4.67644e-05	0.000346554	  0.454098	0.00684349
	   14.2971	   2.08495	4.2091e-05	0.000346591	  0.377466	0.00684322
	   14.3971	   2.08248	3.78849e-05	0.000345347	  0.319928	 0.0068427
	   14.4971	   2.07961	3.40994e-05	0.000343682	  0.276467	0.00684205
