	      Time	        dt	     dPmax	     dVmax	     dSmax	     dNmax	      CFL
	      Days	      Days	      Psia	          	          	          	        

	         1	         1	    511.28	0.00039352	 0.0251881	         1	1.78021e-306
	         2	         1	   74.9893	0.00579918	 0.0115572	         1	1.78021e-306
	         4	         2	   117.904	0.000237737	 0.0111425	         1	1.78021e-306
	   6.73073	   2.73073	   82.6799	0.000117353	 0.0111267	         1	1.78021e-306
	    10.263	   3.53223	   75.3064	8.50453e-05	 0.0135862	         1	1.78021e-306
	   17.3274	   7.06446	   126.167	0.000203596	 0.0231475	         1	1.78021e-306
	   27.3274	        10	   130.537	3.8657e-05	 0.0267064	         1	1.78021e-306
	   37.3274	        10	   104.877	9.09018e-05	 0.0248778	         1	1.78021e-306
	   47.3274	        10	   91.2107	3.65525e-06	 0.0248304	         1	1.78021e-306
	        50	   2.67258	   23.6891	0.000503165	0.00856457	  0.757176	1.78021e-306
	        51	         1	    8.8163	0.000136822	 0.0035338	         1	1.78021e-306
	        53	         2	   17.8097	0.000285547	0.00798828	         1	1.78021e-306
	        57	         4	   35.2762	0.000730007	 0.0193499	         1	1.78021e-306
	        65	         8	   93.5676	3.72508e-05	 0.0297509	         1	1.78021e-306
	        75	        10	   108.337	6.34545e-05	 0.0560188	         1	1.78021e-306
	        85	        10	   167.598	1.29266e-05	 0.0455167	         1	1.78021e-306
	        95	        10	   138.386	6.27972e-05	 0.0584407	  0.999907	1.78021e-306
	       100	         5	   69.9024	1.28666e-05	 0.0281395	         1	1.78021e-306
	       101	         1	   20.7443	0.000125527	0.00487235	  0.162344	1.78021e-306
	       103	         2	   21.9485	0.000235079	 0.0077614	  0.314309	1.78021e-306
	       107	         4	   34.8676	0.000506339	 0.0132548	  0.726508	1.78021e-306
	       110	         3	   25.8649	0.000474222	 0.0103016	         1	1.78021e-306
	       111	         1	   8.75719	9.23626e-05	0.00357516	   0.99037	1.78021e-306
	       113	         2	   17.9267	0.000255207	0.00722626	         1	1.78021e-306
	       115	         2	   17.6529	0.000264828	0.00740859	  0.593287	1.78021e-306
	       116	         1	   8.82249	0.000129223	0.00371269	  0.272284	1.78021e-306
	       118	         2	   17.5812	0.000222539	0.00751014	  0.900011	1.78021e-306
	       120	         2	   17.5679	0.000247256	0.00695013	         1	1.78021e-306
	       121	         1	   8.78429	0.000103427	  0.003533	  0.559923	1.78021e-306
	       123	         2	   17.4344	0.000217208	 0.0072538	         1	1.78021e-306
	       125	         2	   17.4156	0.000227156	 0.0074198	  0.673366	1.78021e-306
	       126	         1	   8.62335	0.000103951	0.00374616	  0.308362	1.78021e-306
	       128	         2	   17.2918	0.000231179	0.00759229	         1	1.78021e-306
	       130	         2	   17.2793	0.000386311	0.00776128	  0.634179	1.78021e-306
	       131	         1	   8.61249	9.55784e-05	0.00390166	  0.998912	1.78021e-306
	       133	         2	   17.5348	0.000235228	0.00802332	         1	1.78021e-306
	       137	         4	   41.5473	0.000459226	 0.0117298	         1	1.78021e-306
	       145	         8	   77.8593	0.000140638	 0.0168664	         1	1.78021e-306
	       155	        10	   91.4832	0.000174978	 0.0271043	         1	1.78021e-306
	       165	        10	   87.2619	0.000212233	 0.0309933	         1	1.78021e-306
	       175	        10	   81.7535	0.000250593	 0.0329223	         1	1.78021e-306
	       185	        10	   83.0336	0.000282747	 0.0215972	         1	1.78021e-306
