	      Time	     dPmax	     dVmax	     dSmax	     dNmax	     CFL

	    0.0125	   200.463	0.00312956	0.00492171	0.000501178	4.21582e-06
	    0.0625	   224.423	0.00878406	0.00978753	         1	7.76999e-05
	    0.1625	   176.446	0.00790602	0.00768486	         1	0.000221181
	    0.2625	   74.5895	0.00711745	 0.0049861	         1	0.000234084
	    0.3625	   51.0292	0.00640865	0.00406405	         1	0.000229361
	    0.4625	    28.829	0.00577064	0.00310692	         1	0.000219198
	    0.5625	   24.0152	0.00519605	0.00277138	         1	 0.0002082
	    0.6625	   20.7779	0.00467857	0.00247746	  0.922944	0.000198041
	    0.7625	   18.2508	0.00421232	0.00223048	         1	0.000189199
	    0.8625	   15.9162	0.00379238	0.00202098	         1	0.000181684
	    0.9625	   13.4535	0.00341419	0.00184183	         1	0.000175336
	         1	   4.71023	0.00328631	0.000641628	         1	6.49297e-05
	       1.1	   11.8045	0.00295852	0.00154328	         1	0.000168107
	       1.2	   11.2172	0.00266342	0.00134707	         1	0.000163805
	       1.3	   10.5981	0.00239777	0.00118483	  0.755882	0.000160113
	       1.4	   9.96185	 0.0021586	0.00105017	  0.565634	0.000156917
	       1.5	   9.31373	0.00194332	0.000937952	         1	0.000154132
	       1.6	   8.68442	 0.0017495	0.000858135	         1	0.00015169
	       1.7	   8.09057	0.00157503	0.000836884	   0.97323	0.000149534
	       1.8	   7.50751	0.00141799	0.000817392	  0.654747	0.000147623
	       1.9	   6.96311	0.00127662	0.000799726	  0.490965	0.000145922
	         2	   6.46067	0.00114936	0.000781676	         1	0.000144402
	       2.1	   6.06565	0.00103479	0.000765171	  0.619207	0.000143043
	       2.2	   5.78541	0.000931658	0.00075004	         1	0.000141823
	       2.3	   5.51039	0.000838813	0.000729724	  0.999999	0.000140728
	       2.4	     5.243	0.000755229	0.000713808	         1	0.000139744
	       2.5	   4.98359	0.000679983	0.000700075	         1	0.000138861
	       2.6	   4.73442	0.00061224	0.000687732	         1	0.000138067
	       2.7	   4.50642	0.000551255	0.000676413	  0.922622	0.000137355
	       2.8	   4.29237	0.000496354	0.000665815	  0.636644	0.000136716
	       2.9	    4.2062	0.000446931	0.000655841	         1	0.000136145
	         3	   4.21414	0.000402439	0.000646403	   0.76632	0.000135635
	       3.1	   4.19541	0.000362388	0.000637419	         1	0.000135182
	       3.2	   4.15344	0.000326334	0.000628829	  0.756684	0.00013478
	       3.3	   4.09147	0.000293879	0.000620577	   0.55706	0.000134426
	       3.4	   4.01258	0.000264663	0.000612274	  0.999114	0.000134116
	       3.5	   3.91961	0.000238363	0.000600124	         1	0.000133846
	       3.6	   3.81545	0.00021473	0.000590414	  0.861218	0.000133616
	       3.7	   3.70204	0.000193493	0.000581746	         1	0.000133419
	       3.8	   3.58182	0.000174393	0.000573674	  0.709573	0.000133254
	       3.9	   3.74148	0.000157202	0.000565925	  0.999806	0.000133118
	         4	   3.99162	0.000141718	0.000558278	  0.789112	0.00013301
	       4.1	   4.15213	0.000127756	0.000550089	         1	0.000132926
	       4.2	   4.23311	0.000115159	0.000541986	  0.679404	0.000132867
	       4.3	   4.41217	0.000106935	0.000533981	  0.507232	0.000132829
	       4.4	   4.51916	9.67569e-05	0.000526226	  0.594246	0.000132812
	       4.5	   4.54436	8.70912e-05	0.000518352	         1	0.000132814
	       4.6	   4.50264	8.97074e-05	0.000510304	         1	0.000132833
	       4.7	   4.40802	9.46201e-05	0.000501887	  0.738747	0.000132868
	       4.8	   4.27321	8.51316e-05	0.000493135	         1	0.00013292
	       4.9	   4.10971	0.000126877	0.000484528	         1	0.000132986
	         5	   3.92758	0.000126804	0.000475905	  0.953482	0.000133065
	       5.1	   3.73547	0.000114143	0.000467402	         1	0.000133157
	       5.2	    3.5407	0.000102749	0.00045891	  0.691113	0.00013326
	       5.3	   3.34851	9.24945e-05	0.000448002	  0.513943	0.000133373
	       5.4	   3.16291	9.00744e-05	0.000437917	         1	0.000133496
	       5.5	   2.98728	8.39941e-05	0.000428063	         1	0.000133628
	       5.6	   2.82435	7.56171e-05	0.000418475	         1	0.000133769
	       5.7	   2.67995	6.80765e-05	0.000409105	         1	0.000133918
	       5.8	   2.58837	6.73308e-05	0.000399885	  0.689093	0.000134074
	       5.9	   2.49412	6.74255e-05	0.000394122	  0.999991	0.000134236
	         6	   2.42493	6.06938e-05	0.000393548	  0.674098	0.000134405
	       6.1	   2.53114	5.49807e-05	0.000392943	         1	0.000134579
	       6.2	   2.98514	8.89659e-05	0.000392159	  0.734102	0.000134759
	       6.3	     3.284	9.78347e-05	0.000391439	         1	0.000134944
	       6.4	   3.44581	8.80583e-05	 0.0003908	         1	0.000135134
	       6.5	   3.49148	7.92594e-05	0.000390243	  0.851825	0.000135328
	       6.6	    3.4431	7.13421e-05	0.000389732	  0.609113	0.000135526
	       6.7	   3.32251	7.21614e-05	0.000389269	         1	0.000135727
	       6.8	   3.15042	6.49503e-05	0.000388816	  0.664234	0.000135932
	       6.9	   2.94562	6.63816e-05	0.00038843	         1	0.00013614
	         7	   2.72466	5.96568e-05	0.000388087	  0.971191	0.000136351
	       7.1	   2.50134	5.67164e-05	0.00038778	  0.646672	0.000136564
	       7.2	   2.28658	5.99751e-05	0.000387508	  0.484057	0.000136779
	       7.3	   2.17078	6.33699e-05	0.000387283	   0.38567	0.000136997
	       7.4	   2.14559	5.70341e-05	0.000387051	  0.999996	0.000137216
	       7.5	   2.12018	5.13319e-05	0.000386828	  0.999855	0.000137437
	       7.6	   2.09476	4.68196e-05	0.000386621	  0.861578	0.000137659
	       7.7	   2.08572	6.74005e-05	0.000386419	  0.607877	0.000137883
	       7.8	   2.08929	6.06683e-05	0.000386225	         1	0.000138108
	       7.9	   2.09077	5.4609e-05	0.000386038	  0.999964	0.000138334
	         8	   2.09016	5.23343e-05	0.000385876	  0.835011	0.000138561
	       8.1	   2.08758	4.71072e-05	0.000385712	  0.599372	0.000138788
