	      Time	     dPmax	     dVmax	     dSmax	     dNmax	     CFL

	    0.0125	   200.463	0.00312956	 0.0136743	0.000501178	0.000783691
	    0.0625	   228.379	0.00878412	  0.010346	         1	 0.0031113
	    0.1625	   178.417	 0.0090217	  0.010652	         1	0.00722327
	    0.2625	   75.2677	0.00812133	0.00498588	         1	0.00774072
	    0.3625	   51.4122	0.00731044	0.00402978	         1	0.00776256
	    0.4625	   28.8217	 0.0065802	0.00313969	         1	0.00765567
	    0.5625	   24.0247	0.00592266	0.00279649	         1	0.00752502
	    0.6625	   20.7796	0.00533068	0.00249582	  0.923103	0.00736642
	    0.7625	   18.2446	0.00479774	0.00224333	         1	0.00720776
	    0.8625	   15.9047	0.00431804	0.00202937	         1	0.00702162
	    0.9625	   13.4399	0.00388621	0.00184663	         1	0.00686876
	         1	   4.70499	0.00374048	0.000636473	         1	0.00253612
	       1.1	    11.806	0.00336641	 0.0015305	         1	0.00672937
	       1.2	   11.2184	0.00302976	0.00133581	         1	 0.0067377
	       1.3	    10.599	0.00272678	0.00117494	  0.759057	0.00674706
	       1.4	    9.9625	 0.0024541	0.00104147	  0.567439	0.00676326
	       1.5	   9.31413	0.00220871	0.00093028	         1	0.00674913
	       1.6	    8.6846	0.00198788	0.000858018	         1	0.00672618
	       1.7	   8.09056	0.00178915	0.000836765	  0.969331	0.00671189
	       1.8	   7.50732	0.00161034	0.000817275	  0.653358	0.00669153
	       1.9	   6.96278	0.00144943	0.000799611	  0.490248	0.00668239
	         2	   6.46023	0.00130463	0.000781566	         1	0.00667924
	       2.1	   6.06581	0.00117433	0.000765065	  0.621107	0.00668005
	       2.2	   5.78555	0.00105707	0.000749939	         1	0.00668388
	       2.3	   5.51051	0.00095155	0.000729626	  0.999999	0.00668769
	       2.4	   5.24311	0.000856592	0.000713714	         1	0.00667863
	       2.5	   4.98368	0.000771138	0.000699985	         1	0.00666923
	       2.6	   4.73449	0.000694234	0.000687646	         1	0.00666366
	       2.7	   4.50647	0.000625024	0.00067633	  0.922887	0.00666211
	       2.8	   4.29241	0.000562739	0.000665735	  0.636748	0.00665835
	       2.9	   4.19418	0.000506684	0.000655764	         1	0.00665722
	         3	   4.20121	0.000456235	0.000646329	  0.767583	0.00665596
	       3.1	   4.18184	0.000410829	0.000637348	         1	0.00665536
	       3.2	   4.13946	0.000369963	0.00062876	  0.760777	0.00665602
	       3.3	   4.07731	0.000333181	0.000620511	   0.55942	0.00665812
	       3.4	   3.99842	0.000300074	0.00061221	  0.999114	0.00666135
	       3.5	   3.90561	0.000270274	0.000600063	         1	0.00666528
	       3.6	   3.80175	0.000243481	0.000590354	  0.861217	0.00666954
	       3.7	   3.68876	0.000219361	0.000581688	         1	0.00667205
	       3.8	   3.56906	0.000197644	0.000573618	  0.709664	0.00667447
	       3.9	    3.7416	0.000178094	0.000565871	  0.999804	0.00667734
	         4	   3.99169	0.000160495	0.000558223	  0.790338	 0.0066808
