==================================================
DX : feet


(*,  1,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  2,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  3,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  4,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  5,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  6,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  7,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  8,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  9,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 10,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
