The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	         1	         3	        15	   3765.65	   37320.5	   37320.5	   51201.3	   51201.3	   41.4488	   41.4488
	         2	         4	        21	   3749.05	   36943.1	   74263.6	   50290.3	    101492	   41.5891	    83.038
	         4	         6	        26	   3728.91	   36801.1	    147866	   49965.7	    201423	   44.0843	   171.206
	         8	         8	        31	   3700.02	   36581.2	    294191	   49711.2	    400268	    46.548	   357.398
	        16	        11	        41	   3661.68	   36400.2	    585392	   49327.1	    794884	   59.1329	   830.461
	        26	        13	        55	   3628.62	   36140.5	    946797	   49875.9	1.29364e+06	   105.261	   1883.07
	        36	        15	        63	   3605.56	   35835.6	1.30515e+06	   50498.3	1.79863e+06	   189.625	   3779.32
	        46	        18	        73	   3585.84	   35582.6	1.66098e+06	   53086.4	2.32949e+06	   282.194	   6601.26
	        50	        19	        76	   3578.34	   35494.9	1.80296e+06	   54472.1	2.54738e+06	   322.099	   7889.65
	        51	        20	        78	    3576.7	   35472.2	1.83843e+06	   55086.9	2.60247e+06	   331.021	   8220.67
	        53	        21	        80	   3573.15	   35427.4	1.90929e+06	   56286.1	2.71504e+06	   349.194	   8919.06
	        57	        22	        83	    3565.9	   35341.1	2.05065e+06	   58254.5	2.94806e+06	   385.242	     10460
	        65	        24	        91	   3551.59	   35202.1	2.33227e+06	   62603.7	3.44889e+06	   459.983	   14139.9
	        75	        26	        99	   3533.23	     35041	2.68268e+06	   68248.3	4.13137e+06	   561.061	   19750.5
	        85	        31	       125	    3514.7	   34890.6	3.03158e+06	   74235.6	4.87373e+06	   667.317	   26423.7
	        95	        33	       137	   3495.82	   34752.1	3.3791e+06	   80341.7	5.67714e+06	    797.65	   34400.2
	       100	        35	       145	   3486.37	   34692.6	3.55257e+06	   83559.2	6.09494e+06	   880.846	   38804.4
